,code,更新日期,code1,股票简称,Wind一级行业,Wind二级行业,公司属性,wind1,wind2,company
46,000729.SZ,2023/11/17,729,燕京啤酒,日常消费,食品、饮料与烟草,地方国有企业,8,13,2
47,002603.SZ,2023/11/17,2603,以岭药业,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
48,000738.SZ,2023/11/17,738,航发控制,工业,资本货物,中央国有企业,0,0,1
49,000739.SZ,2023/11/17,739,普洛药业,医疗保健,制药、生物科技与生命科学,其他企业,4,10,4
50,000750.SZ,2023/11/17,750,国海证券,金融,多元金融,地方国有企业,7,9,2
51,002624.SZ,2023/11/17,2624,完美世界,信息技术,软件与服务,民营企业,2,8,3
52,002625.SZ,2023/11/17,2625,光启技术,工业,资本货物,民营企业,0,0,3
53,000778.SZ,2023/11/17,778,新兴铸管,材料,材料Ⅱ,中央国有企业,1,1,1
54,000783.SZ,2023/11/17,783,长江证券,金融,多元金融,公众企业,7,9,0
55,000785.SZ,2023/11/17,785,居然之家,可选消费,零售业,民营企业,6,15,3
56,002653.SZ,2023/11/17,2653,海思科,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
57,000807.SZ,2023/11/17,807,云铝股份,材料,材料Ⅱ,中央国有企业,1,1,1
58,002670.SZ,2023/11/17,2670,国盛金控,金融,多元金融,地方国有企业,7,9,2
59,002673.SZ,2023/11/17,2673,西部证券,金融,多元金融,地方国有企业,7,9,2
60,300463.SZ,2023/11/17,300463,迈克生物,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
61,300474.SZ,2023/11/17,300474,景嘉微,工业,资本货物,民营企业,0,0,3
62,000825.SZ,2023/11/17,825,太钢不锈,材料,材料Ⅱ,中央国有企业,1,1,1
63,000830.SZ,2023/11/17,830,鲁西化工,材料,材料Ⅱ,中央国有企业,1,1,1
64,000831.SZ,2023/11/17,831,中国稀土,材料,材料Ⅱ,中央国有企业,1,1,1
65,002683.SZ,2023/11/17,2683,广东宏大,材料,材料Ⅱ,地方国有企业,1,1,2
66,002690.SZ,2023/11/17,2690,美亚光电,工业,资本货物,民营企业,0,0,3
67,000869.SZ,2023/11/17,869,张裕A,日常消费,食品、饮料与烟草,集体企业,8,13,5
68,300482.SZ,2023/11/17,300482,万孚生物,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
69,000878.SZ,2023/11/17,878,云南铜业,材料,材料Ⅱ,中央国有企业,1,1,1
70,000883.SZ,2023/11/17,883,湖北能源,公用事业,公用事业Ⅱ,中央国有企业,3,3,1
71,002701.SZ,2023/11/17,2701,奥瑞金,材料,材料Ⅱ,民营企业,1,1,3
72,002705.SZ,2023/11/17,2705,新宝股份,可选消费,耐用消费品与服装,民营企业,6,14,3
73,000887.SZ,2023/11/17,887,中鼎股份,可选消费,汽车与汽车零部件,民营企业,6,12,3
74,300558.SZ,2023/11/17,300558,贝达药业,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
75,002739.SZ,2023/11/17,2739,万达电影,可选消费,媒体Ⅱ,民营企业,6,7,3
76,000898.SZ,2023/11/17,898,鞍钢股份,材料,材料Ⅱ,中央国有企业,1,1,1
77,300618.SZ,2023/11/17,300618,寒锐钴业,材料,材料Ⅱ,民营企业,1,1,3
78,002745.SZ,2023/11/17,2745,木林森,信息技术,半导体与半导体生产设备,民营企业,2,16,3
79,000930.SZ,2023/11/17,930,中粮科技,材料,材料Ⅱ,中央国有企业,1,1,1
80,603568.SH,2023/11/17,603568,伟明环保,工业,商业和专业服务,民营企业,0,17,3
81,002756.SZ,2023/11/17,2756,永兴材料,材料,材料Ⅱ,民营企业,1,1,3
82,601699.SH,2023/11/17,601699,潞安环能,能源,能源Ⅱ,地方国有企业,9,18,2
83,601717.SH,2023/11/17,601717,郑煤机,工业,资本货物,公众企业,0,0,0
84,601718.SH,2023/11/17,601718,际华集团,可选消费,耐用消费品与服装,中央国有企业,6,14,1
85,000932.SZ,2023/11/17,932,华菱钢铁,材料,材料Ⅱ,地方国有企业,1,1,2
86,000937.SZ,2023/11/17,937,冀中能源,能源,能源Ⅱ,地方国有企业,9,18,2
87,603589.SH,2023/11/17,603589,口子窖,日常消费,食品、饮料与烟草,民营企业,8,13,3
88,300630.SZ,2023/11/17,300630,普利制药,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
89,002797.SZ,2023/11/17,2797,第一创业,金融,多元金融,公众企业,7,9,0
90,000959.SZ,2023/11/17,959,首钢股份,材料,材料Ⅱ,地方国有企业,1,1,2
91,601778.SH,2023/11/17,601778,晶科科技,公用事业,公用事业Ⅱ,民营企业,3,3,3
92,603605.SH,2023/11/17,603605,珀莱雅,日常消费,家庭与个人用品,民营企业,8,19,3
93,002815.SZ,2023/11/17,2815,崇达技术,信息技术,技术硬件与设备,民营企业,2,2,3
94,000960.SZ,2023/11/17,960,锡业股份,材料,材料Ⅱ,地方国有企业,1,1,2
95,000961.SZ,2023/11/17,961,中南建设,房地产,房地产Ⅱ,民营企业,5,5,3
96,000967.SZ,2023/11/17,967,盈峰环境,工业,商业和专业服务,民营企业,0,17,3
97,601828.SH,2023/11/17,601828,美凯龙,可选消费,零售业,地方国有企业,6,15,2
98,601860.SH,2023/11/17,601860,紫金银行,金融,银行,地方国有企业,7,20,2
99,601866.SH,2023/11/17,601866,中远海发,工业,运输,中央国有企业,0,6,1
100,002831.SZ,2023/11/17,2831,裕同科技,材料,材料Ⅱ,民营企业,1,1,3
101,300676.SZ,2023/11/17,300676,华大基因,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
102,300677.SZ,2023/11/17,300677,英科医疗,医疗保健,医疗保健设备与服务,民营企业,4,4,3
103,000970.SZ,2023/11/17,970,中科三环,材料,材料Ⅱ,中央国有企业,1,1,1
104,000975.SZ,2023/11/17,975,银泰黄金,材料,材料Ⅱ,地方国有企业,1,1,2
105,603883.SH,2023/11/17,603883,老百姓,日常消费,食品与主要用品零售Ⅱ,民营企业,8,21,3
106,603885.SH,2023/11/17,603885,吉祥航空,工业,运输,民营企业,0,6,3
107,603613.SH,2023/11/17,603613,国联股份,信息技术,软件与服务,民营企业,2,8,3
108,002867.SZ,2023/11/17,2867,周大生,可选消费,耐用消费品与服装,民营企业,6,14,3
109,601869.SH,2023/11/17,601869,长飞光纤,信息技术,技术硬件与设备,公众企业,2,2,0
110,601872.SH,2023/11/17,601872,招商轮船,工业,运输,中央国有企业,0,6,1
111,601880.SH,2023/11/17,601880,辽港股份,工业,运输,中央国有企业,0,6,1
112,603127.SH,2023/11/17,603127,昭衍新药,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
113,000983.SZ,2023/11/17,983,山西焦煤,能源,能源Ⅱ,地方国有企业,9,18,2
114,000987.SZ,2023/11/17,987,越秀资本,金融,多元金融,地方国有企业,7,9,2
115,000988.SZ,2023/11/17,988,华工科技,信息技术,技术硬件与设备,地方国有企业,2,2,2
116,000990.SZ,2023/11/17,990,诚志股份,材料,材料Ⅱ,地方国有企业,1,1,2
117,000997.SZ,2023/11/17,997,新大陆,信息技术,技术硬件与设备,民营企业,2,2,3
118,000998.SZ,2023/11/17,998,隆平高科,日常消费,食品、饮料与烟草,中央国有企业,8,13,1
119,603927.SH,2023/11/17,603927,中科软,信息技术,软件与服务,其他企业,2,8,4
120,603638.SH,2023/11/17,603638,艾迪精密,工业,资本货物,民营企业,0,0,3
121,603650.SH,2023/11/17,603650,彤程新材,材料,材料Ⅱ,外资企业,1,1,6
122,601168.SH,2023/11/17,601168,西部矿业,材料,材料Ⅱ,地方国有企业,1,1,2
123,601179.SH,2023/11/17,601179,中国西电,工业,资本货物,中央国有企业,0,0,1
124,601187.SH,2023/11/17,601187,厦门银行,金融,银行,公众企业,7,20,0
