p-p = -0.006405133754014969, last = buy buy
p-p = -0.003072112798690796, last = buy buy
p-p = -0.017278077080845833, last = buy buy
p-p = -0.003925766795873642, last = buy buy
p-p = -0.008027184754610062, last = buy buy
p-p = -0.021999936550855637, last = buy buy
p-p = -0.02612490952014923, last = buy buy
p-p = -0.023058509454131126, last = buy buy
p-p = -0.016858328133821487, last = buy buy
p-p = -0.008249364793300629, last = buy buy
p-p = -0.005792215466499329, last = buy buy
p-p = -0.003482650965452194, last = buy buy
p-p = -0.013434795662760735, last = buy buy
p-p = -0.011674001812934875, last = buy buy
p-p = -0.0040537454187870026, last = buy buy
p-p = -0.02543945051729679, last = buy buy
p-p = -0.004079755395650864, last = buy buy
p-p = -0.023308107629418373, last = buy buy
p-p = -0.007301755249500275, last = buy buy
p-p = -0.006583668291568756, last = buy buy
p-p = -0.004773825407028198, last = buy buy
p-p = -0.006835963577032089, last = buy buy
p-p = -0.0056811124086380005, last = buy buy
p-p = -0.01629463955760002, last = buy buy
p-p = -0.006290916353464127, last = buy buy
p-p = -0.0014515593647956848, last = buy buy
p-p = -0.006530895829200745, last = buy buy
p-p = -0.008243799209594727, last = buy buy
p-p = -0.007236616685986519, last = buy buy
p-p = -0.008244356140494347, last = buy buy
p-p = -0.007863609120249748, last = buy buy
p-p = -0.02229464426636696, last = buy buy
p-p = -0.008201036602258682, last = buy buy
p-p = -0.011035561561584473, last = buy buy
p-p = -0.008703295141458511, last = buy buy
p-p = -0.009056096896529198, last = buy buy
p-p = -0.010171961039304733, last = buy buy
p-p = -0.002495329827070236, last = buy buy
p-p = -0.008593900129199028, last = buy buy
p-p = -0.02029849775135517, last = buy buy
p-p = -0.002939477562904358, last = buy buy
p-p = -0.026686133816838264, last = buy buy
p-p = -0.018091440200805664, last = buy buy
p-p = -0.00418911874294281, last = buy buy
p-p = -0.0068742744624614716, last = buy buy
p-p = -0.00778496079146862, last = buy buy
p-p = -0.014601333066821098, last = buy buy
p-p = -0.009174205362796783, last = buy buy
p-p = -0.008170589804649353, last = buy buy
p-p = -0.07318803668022156, last = buy buy
p-p = -0.008395163342356682, last = buy buy
p-p = -0.0034969933331012726, last = buy buy
p-p = -0.007456222549080849, last = buy buy
p-p = -0.006398506462574005, last = buy buy
p-p = -0.0026334188878536224, last = buy buy
p-p = -0.01498619094491005, last = buy buy
p-p = -0.0074363816529512405, last = buy buy
p-p = -0.00833161175251007, last = buy buy
p-p = -0.012129556387662888, last = buy buy
