
p-p = 0.0011978037655353546, last = sell sell
p-p = 0.001271374523639679, last = sell sell
p-p = 0.0040659476071596146, last = sell sell
p-p = 0.004714809358119965, last = sell sell
p-p = 0.0010201819241046906, last = sell sell
p-p = 0.004993252456188202, last = sell sell
p-p = 0.018735352903604507, last = sell sell
p-p = 0.006203796714544296, last = sell sell
p-p = 0.003804437816143036, last = sell sell
p-p = 0.0045452602207660675, last = sell sell
p-p = 0.0025158822536468506, last = sell sell
p-p = 0.010725423693656921, last = sell sell
p-p = 0.0038962028920650482, last = sell sell
p-p = 0.0024714134633541107, last = sell sell
p-p = 0.0023805219680070877, last = sell sell
p-p = 0.015130039304494858, last = sell sell
p-p = 0.0012791752815246582, last = sell sell
p-p = 0.003567200154066086, last = sell sell
p-p = 0.0027299784123897552, last = sell sell
p-p = 0.005174696445465088, last = sell sell
p-p = 0.003071216866374016, last = sell sell
p-p = 0.0018030032515525818, last = sell sell
p-p = 0.0027017518877983093, last = sell sell
p-p = 0.004576336592435837, last = sell sell
p-p = 0.0018969178199768066, last = sell sell
p-p = 0.004772301763296127, last = sell sell
p-p = 0.0022422559559345245, last = sell sell
p-p = 0.004711344838142395, last = sell sell
p-p = 0.007276847958564758, last = sell sell
p-p = 0.005966804921627045, last = sell sell
p-p = 0.003956250846385956, last = sell sell
p-p = 0.0037352927029132843, last = sell sell
p-p = 0.004576630890369415, last = sell sell
p-p = 0.005203094333410263, last = sell sell
p-p = 0.0017791278660297394, last = sell sell
p-p = 0.0025123469531536102, last = sell sell
p-p = 0.00926196575164795, last = sell sell
p-p = 0.0029953308403491974, last = sell sell
p-p = 0.0014292970299720764, last = sell sell
p-p = 0.002129707485437393, last = sell sell
p-p = 0.003271818161010742, last = sell sell
p-p = 0.004694376140832901, last = sell sell
p-p = 0.0020733997225761414, last = sell sell
p-p = 0.0022702664136886597, last = sell sell
p-p = 0.0050568170845508575, last = sell sell
p-p = 0.0019121654331684113, last = sell sell
p-p = 0.003600001335144043, last = sell sell
p-p = 0.0019703060388565063, last = sell sell
p-p = 0.005552716553211212, last = sell sell
p-p = 0.003505384549498558, last = sell sell
p-p = 0.0034557171165943146, last = sell sell
p-p = 0.0033117979764938354, last = sell sell
p-p = 0.006238877773284912, last = sell sell
p-p = 0.0028545111417770386, last = sell sell
p-p = 0.003449629992246628, last = sell sell
p-p = 0.0018412992358207703, last = sell sell
p-p = 0.0017548762261867523, last = sell sell
p-p = 0.005205094814300537, last = sell sell
p-p = 0.0025529172271490097, last = sell sell
p-p = 0.004758857190608978, last = sell sell
p-p = 0.0025808624923229218, last = sell sell
p-p = 0.0018273256719112396, last = sell sell
p-p = 0.004832472652196884, last = sell sell
p-p = 0.0015311874449253082, last = sell sell
p-p = 0.0034631751477718353, last = sell sell
p-p = 0.005943577736616135, last = sell sell
p-p = 0.004862867295742035, last = sell sell
p-p = 0.0024689510464668274, last = sell sell
p-p = 0.0019979849457740784, last = sell sell
p-p = 0.002106204628944397, last = sell sell
p-p = 0.0014160647988319397, last = sell sell
p-p = 0.009628131985664368, last = sell sell
p-p = 0.0011599101126194, last = sell sell
p-p = 0.001485925167798996, last = sell sell
p-p = 0.0037201009690761566, last = sell sell
p-p = 0.0025358572602272034, last = sell sell
p-p = 0.0016208644956350327, last = sell sell
p-p = 0.001452770084142685, last = sell sell
p-p = 0.004637792706489563, last = sell sell
p-p = 0.0042188651859760284, last = sell sell
p-p = 0.002220768481492996, last = sell sell
p-p = 0.004619710147380829, last = sell sell
p-p = 0.0044203102588653564, last = sell sell
p-p = 0.008884727954864502, last = sell sell
p-p = 0.013429105281829834, last = sell sell
p-p = 0.003848489373922348, last = sell sell
p-p = 0.004062823951244354, last = sell sell
p-p = 0.005853880196809769, last = sell sell
p-p = 0.0023102611303329468, last = sell sell
p-p = 0.0019499287009239197, last = sell sell
p-p = 0.0030707716941833496, last = sell sell
p-p = 0.0049622878432273865, last = sell sell
p-p = 0.0064995624125003815, last = sell sell
p-p = 0.0043152570724487305, last = sell sell
p-p = 0.0041970983147621155, last = sell sell
p-p = 0.0018979460000991821, last = sell sell
p-p = 0.0025337636470794678, last = sell sell
p-p = 0.0021396130323410034, last = sell sell
p-p = 0.001688677817583084, last = sell sell
p-p = 0.0023653097450733185, last = sell sell
p-p = 0.002043129876255989, last = sell sell
p-p = 0.004018284380435944, last = sell sell
p-p = 0.002604227513074875, last = sell sell
p-p = 0.0024748295545578003, last = sell sell
p-p = 0.0020081941038370132, last = sell sell
p-p = 0.0050837136805057526, last = sell sell
p-p = 0.0014310218393802643, last = sell sell
p-p = 0.017187878489494324, last = sell sell
p-p = 0.0027362555265426636, last = sell sell
p-p = 0.0025244057178497314, last = sell sell
p-p = 0.002860739827156067, last = sell sell
p-p = 0.0025771576911211014, last = sell sell
p-p = 0.007512439042329788, last = sell sell
p-p = 0.00398901104927063, last = sell sell
p-p = 0.005272310227155685, last = sell sell
p-p = 0.0018591880798339844, last = sell sell
p-p = 0.0031029805541038513, last = sell sell
p-p = 0.0034447498619556427, last = sell sell
p-p = 0.0010522715747356415, last = sell sell
p-p = 0.002757865935564041, last = sell sell
p-p = 0.002601359039545059, last = sell sell
p-p = 0.0017298422753810883, last = sell sell
p-p = 0.0021941624581813812, last = sell sell
p-p = 0.0010796934366226196, last = sell sell
p-p = 0.0038053616881370544, last = sell sell
p-p = 0.004614446312189102, last = sell sell
p-p = 0.013944111764431, last = sell sell
p-p = 0.0034274086356163025, last = sell sell
p-p = 0.005228657275438309, last = sell sell
p-p = 0.003495384007692337, last = sell sell
p-p = 0.004265788942575455, last = sell sell
